Chapter,Jurisdiction,Iso,Document title,Year enacted,Years amended,Policy scope,CDR relevance,Broad method,Specific method,CDR value chain focus,Instrument category,Instrument type,Target year,Target amount,Target unit,Target type,Target binding,Policy link
State of CDR (Edition 3) - Policymaking and governance,Republic of Korea,KOR,2050 Carbon Neutral Strategy of the Republic of Korea,2020,,Framework,"Korea's LT-LEDS submitted to UNFCCC December 2020; sets carbon neutrality by 2050 direction including roles for forest sinks, BECCS and CDR technologies without quantified CDR targets.",Multiple,"Afforestation, reforestation, forest management; Bioenergy with carbon capture and storage (BECCS); Multiple",Cross-cutting,Other,target,2050,0,net GHG emissions,Emissions,No,https://unfccc.int/sites/default/files/resource/LTS1_RKorea.pdf
State of CDR (Edition 3) - Policymaking and governance,Republic of Korea,KOR,"Republic of Korea – Intended Nationally Determined Contribution (INDC, 2015)",2015,,Framework,Korea's initial mitigation pledge targeting 37% GHG reduction below BAU by 2030; includes potential future role for sinks and international credits.,Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2030,37,% below BAU,Emissions,No,https://faolex.fao.org/docs/pdf/kor187062.pdf
State of CDR (Edition 3) - Policymaking and governance,Republic of Korea,KOR,Republic of Korea's Enhanced Update of its First Nationally Determined Contribution (2021),2021,,Framework,Enhanced update of Korea's First NDC raising the 2030 target to 40% below 2018 levels (absolute economy-wide); forest carbon sinks part of mitigation strategy.,Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Regulatory instrument,target,2030,40,% below 2018 levels,Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-06/211223_The%20Republic%20of%20Korea%27s%20Enhanced%20Update%20of%20its%20First%20Nationally%20Determined%20Contribution_211227_editorial%20change.pdf
State of CDR (Edition 3) - Policymaking and governance,Republic of Korea,KOR,"Republic of Korea's 2035 Nationally Determined Contribution (Second NDC, 2025)",2025,,Framework,"Korea's Second NDC submitted December 2025, targeting 53–61% reduction in net GHG emissions by 2035 vs 2018 levels; includes strengthened forest sink contribution.",Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Regulatory instrument,target,2035,53-61,% below 2018 levels,Emissions,No,https://unfccc.int/sites/default/files/2025-12/The%20Republic%20of%20Koreas%202035%20NDC.pdf
State of CDR (Edition 3) - Policymaking and governance,Mexico,MEX,Estrategia Nacional de Cambio Climático (ENCC) – Actualización 2024,2024,,Framework,"Updated national climate strategy published in the Diario Oficial de la Federación on 30 September 2024; guides Mexico's medium- and long-term climate policy including forest conservation, restoration and land-use measures that support carbon sinks.",Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Other,Other,,,,,,https://www.dof.gob.mx/nota_detalle.php?codigo=5739992&fecha=30/09/2024
State of CDR (Edition 3) - Policymaking and governance,Mexico,MEX,Programa Nacional Forestal 2020–2024,2020,,Framework,"National forest programme supporting conservation, restoration, sustainable forest management and ecosystem services relevant to land-based removals.",Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Other,Other,,,,,,https://www.conafor.gob.mx/transparencia/docs/2021/Programa_Nacional_Forestal_PNF_2020-2024.pdf
State of CDR (Edition 3) - Policymaking and governance,Mexico,MEX,Estrategia Nacional REDD+ (ENAREDD+),2017,,Framework,National REDD+ strategy aiming to reduce emissions from deforestation and forest degradation and enhance forest carbon stocks through sustainable landscape management.,Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Other,Other,,,,,,https://www.gob.mx/conafor/documentos/estrategia-nacional-redd-enaredd
State of CDR (Edition 3) - Policymaking and governance,Mexico,MEX,Programa de Compensación Ambiental por Cambio de Uso de Suelo en Terrenos Forestales,2024,,Instrument,"Provides compensation financing for restoration, reforestation and landscape recovery in forest lands converted to other uses, supporting additional carbon sequestration.",Conventional CDR,"Afforestation, reforestation, forest management",Supply,Economic instrument,capital_subsidy; operating_subsidy,2024,23000,ha restoration,CDR,,https://www.gob.mx/conafor/documentos/reglas-de-operacion-2024
State of CDR (Edition 3) - Policymaking and governance,Mexico,MEX,Ley General de Desarrollo Forestal Sustentable,2018,2024,Framework,"General forestry law defining governance, sustainable forest management and restoration responsibilities relevant to forest carbon stocks.",Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Regulatory instrument,regulatory_safeguard,,,,,,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC036056/
State of CDR (Edition 3) - Policymaking and governance,Mexico,MEX,Ley General de Cambio Climático,2012,2023,Framework,"Core climate law establishing Mexico's national climate governance framework and legal basis for instruments including the ETS; mandates emissions inventories, the ETS pilot and mitigation targets.",Multiple,Multiple,Demand,Regulatory instrument,target; compliance_market_integration,2030,30,% below BAU,Emissions,Yes,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC113284/
State of CDR (Edition 3) - Policymaking and governance,Mexico,MEX,Sistema de Comercio de Emisiones de México (Mexico ETS),2020,2022,Instrument,"National cap-and-trade ETS — the first in Latin America — covering CO₂ from energy and industry sectors above 100,000 tCO₂/year; pilot phase 2020–2022, transition phase 2022; operational phase from 2025.",Multiple,Multiple,Demand,Regulatory instrument,compliance_market_integration; mrv_standard,,,,,,https://icapcarbonaction.com/en/ets/mexican-emissions-trading-system
State of CDR (Edition 3) - Policymaking and governance,Mexico,MEX,"Mexico's Intended Nationally Determined Contribution (INDC, 2015)",2015,,Framework,Mexico's initial INDC submitted March 2015; targets 22% unconditional GHG reduction below BAU by 2030 (36% conditional); includes forest sector commitments and zero-deforestation goal.,Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Regulatory instrument,target,2030,22,% below BAU (unconditional; 36% conditional),Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-06/mexico_indc_03.30.2015.pdf
State of CDR (Edition 3) - Policymaking and governance,Mexico,MEX,Mexico's Updated Nationally Determined Contribution (NDC Actualización 2022),2022,,Framework,Mexico's 2022 updated NDC reaffirming the 22% unconditional / 36% conditional 2030 targets with updated sectoral detail and stronger emphasis on LULUCF and REDD+ contributions.,Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Regulatory instrument,target,2030,22,% below BAU (unconditional; 36% conditional),Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-11/Mexico_NDC_UNFCCC_update2022_FINAL.pdf
State of CDR (Edition 3) - Policymaking and governance,Mexico,MEX,"Mexico's Contribución Determinada a Nivel Nacional 3.0 (NDC 3.0, 2025)",2025,,Framework,Mexico's Third NDC submitted November 2025; includes stronger commitments with forest and land-use measures as key mitigation contributors; adopts absolute emission reduction framing aligned with 1.5°C.,Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Regulatory instrument,target,2030,,% absolute emission reduction below 2000 levels,Emissions,No,https://unfccc.int/sites/default/files/2025-11/NDC%203.0%20Me%CC%81xico_spanish.pdf
State of CDR (Edition 3) - Policymaking and governance,Saudi Arabia,SAU,Greenhouse Gas Crediting and Offsetting Mechanism (GCOM),2024,,Instrument,"Establishes a national voluntary crediting mechanism for emissions reductions and removals, including MRV requirements and potential CDR methodologies.",Multiple,"Afforestation, reforestation, forest management; CO₂ geological storage",Cross-cutting,Regulatory instrument,crediting_mechanism; mrv_standard,,,,,,https://climatepolicydatabase.org/policies/greenhouse-gas-crediting-and-offsetting-mechanism-gcom
State of CDR (Edition 3) - Policymaking and governance,Saudi Arabia,SAU,Strategy and National Forestry Plan (2005–2025),2006,,Framework,"Establishes national forestry policy for conservation, reforestation and sustainable management, enhancing terrestrial carbon sinks.",Conventional CDR,"Afforestation, reforestation, forest management",Supply,Other,Other,,,,,,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC145469
State of CDR (Edition 3) - Policymaking and governance,Saudi Arabia,SAU,Strategy and National Plan for Pastures (to 2033),2013,,Framework,"Aims to halt desertification, restore rangelands and improve vegetation cover, supporting soil and biomass carbon sequestration.",Conventional CDR,Soil carbon sequestration in croplands & grasslands,Supply,Other,Other,,,,,,https://faolex.fao.org/docs/pdf/sau151268.pdf
State of CDR (Edition 3) - Policymaking and governance,Saudi Arabia,SAU,Saudi Green Initiative (SGI) – National Tree Planting and Land Restoration Vision,2021,,Framework,"National strategy targeting large-scale afforestation and land restoration, including planting 10 billion trees and rehabilitating degraded land to enhance carbon sinks.",Conventional CDR,"Afforestation, reforestation, forest management",Supply,Other,target,2030+,10 billion trees; 40 million ha restoration,trees/ha restored,Emissions,No,https://www.sgi.gov.sa/
State of CDR (Edition 3) - Policymaking and governance,Saudi Arabia,SAU,"Saudi Arabia Intended Nationally Determined Contribution (INDC, 2015)",2015,,Framework,Saudi Arabia's initial mitigation pledge targeting up to 130 MtCO₂e mitigation contribution annually by 2030; includes Circular Carbon Economy framing and land-based mitigation.,Multiple,"Afforestation, reforestation, forest management; CO₂ geological storage",Cross-cutting,Regulatory instrument,target,2030,130,MtCO₂e mitigation contribution,Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-06/saudi_arabia_indc_english.pdf
State of CDR (Edition 3) - Policymaking and governance,Saudi Arabia,SAU,Saudi Arabia Updated First Nationally Determined Contribution (2021),2021,,Framework,"Updated First NDC targeting 278 MtCO₂e reduction, avoidance and removal annually by 2030; more than doubles previous target; includes CCE approach, SGI afforestation and CCUS.",Multiple,"Afforestation, reforestation, forest management; CO₂ geological storage",Cross-cutting,Regulatory instrument,target,2030,278,MtCO₂e mitigation contribution,Emissions,No,https://unfccc.int/sites/default/files/resource/202203111154---KSA%20NDC%202021.pdf
State of CDR (Edition 3) - Policymaking and governance,Saudi Arabia,SAU,Saudi Arabia Second Nationally Determined Contribution (2025),2025,,Framework,"Saudi Arabia's Second NDC submitted December 2025; targets 335 MtCO₂e reduction, avoidance and removal annually by 2040; represents a 20.5% progression from the 2021 NDC; includes CCE approach, afforestation, CCUS and renewable energy.",Multiple,"Afforestation, reforestation, forest management; CO₂ geological storage",Cross-cutting,Regulatory instrument,target,2040,335,MtCO₂e mitigation contribution,Emissions,No,https://unfccc.int/sites/default/files/2026-01/2nd%20KSA%20NDC%20Document%20Final%20Document%20(28122025)_DNA.pdf
State of CDR (Edition 3) - Policymaking and governance,South Africa,ZAF,Forestry 2030 Roadmap (Forestry Strategy 2009–2030),2009,,Framework,"Promotes afforestation, reforestation and sustainable forest management to enhance forest carbon sinks.",Conventional CDR,"Afforestation, reforestation, forest management",Supply,Other,Other,,,,,,https://faolex.fao.org/docs/pdf/saf149602.pdf
State of CDR (Edition 3) - Policymaking and governance,South Africa,ZAF,Sustainable Forest Development in South Africa (White Paper),1997,,Framework,Establishes long-term forest conservation and sustainable management supporting carbon sink maintenance.,Conventional CDR,"Afforestation, reforestation, forest management",Supply,Other,Other,,,,,,https://faolex.fao.org/docs/pdf/saf148487.pdf
State of CDR (Edition 3) - Policymaking and governance,South Africa,ZAF,Policy Principles for Development Affecting Natural Forests,2008,,Framework,"Provides regulatory guidance to conserve natural forests, preventing loss of carbon stocks.",Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Regulatory instrument,regulatory_safeguard,,,,,,https://www.nda.gov.za/phocadownloadpap/General_Reports/POLICYGUIDEDEVCONTROLFORESTS.pdf
State of CDR (Edition 3) - Policymaking and governance,South Africa,ZAF,National Climate Change Adaptation Strategy (NCCAS),2020,,Framework,Promotes ecosystem restoration and resilience measures that enhance natural carbon sinks.,Conventional CDR,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands",Cross-cutting,Information instrument,Other,,,,,,https://faolex.fao.org/docs/pdf/saf211400.pdf
State of CDR (Edition 3) - Policymaking and governance,South Africa,ZAF,Second National Action Programme to Combat Desertification & Drought (2018–2030),2018,,Framework,"Supports soil restoration, afforestation and ecosystem rehabilitation increasing biomass and soil carbon stocks.",Conventional CDR,"Soil carbon sequestration in croplands & grasslands; Afforestation, reforestation, forest management",Supply,Other,target,2030,Land degradation neutrality,qualitative target,Emissions,No,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC231745
State of CDR (Edition 3) - Policymaking and governance,South Africa,ZAF,Carbon Tax Act (Act No. 15 of 2019),2019,2020; 2021; 2022; 2023,Instrument,"Establishes a nationwide carbon tax on GHG emissions from covered activities; offset allowance permits regulated entities to meet up to 5–10% (Phase 1) or 10–15% (Phase 2 from 2026) of their tax liability using domestic carbon offset credits, including AFOLU and forestry projects.",Conventional CDR,"Afforestation, reforestation, forest management",Demand,Economic instrument,compliance_market_integration; crediting_mechanism; tax_incentive,,,,,,https://www.gov.za/documents/acts/carbon-tax-act-15-2019-english-afrikaans-23-may-2019
State of CDR (Edition 3) - Policymaking and governance,South Africa,ZAF,South Africa First Nationally Determined Contribution (2015/2016),2015,,Framework,"South Africa's First NDC commits to peaking emissions between 2020–2025 and targets 398–614 MtCO₂e by 2025–2030, with forests and land use contributing to mitigation.",Multiple,"Afforestation, reforestation, forest management",Cross-cutting,Regulatory instrument,target,2030,398-614,MtCO₂e range,Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-06/South%20Africa%20NDC%20%20FINAL%20NOVEMBER%202016.pdf
State of CDR (Edition 3) - Policymaking and governance,South Africa,ZAF,South Africa Updated First Nationally Determined Contribution (2021),2021,,Framework,"South Africa's 2021 updated NDC raises ambition, targeting 350–420 MtCO₂e by 2030 with land-sector contributions including agroforestry and ecosystem restoration.",Conventional CDR,"Afforestation, reforestation, forest management; Peatland and coastal wetland restoration",Cross-cutting,Regulatory instrument,target,2030,350-420,MtCO₂e,Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-06/South%20Africa%20updated%20first%20NDC%20%20September%202021.pdf
State of CDR (Edition 3) - Policymaking and governance,South Africa,ZAF,South Africa Second Nationally Determined Contribution (2025),2025,,Framework,"South Africa's 2025 Second NDC targets 320–380 MtCO₂e by 2035, with continued land-sector and ecosystem restoration contributions.",Conventional CDR,"Afforestation, reforestation, forest management; Peatland and coastal wetland restoration",Cross-cutting,Regulatory instrument,target,2035,320-380,MtCO₂e,Emissions,No,https://unfccc.int/sites/default/files/2025-11/South_Africa_NDC_2025.pdf
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,Climate Change Act 2008,2008,2019,Framework,Core UK climate law establishing binding net-zero and carbon-budget architecture; provides the overarching legal framework within which removals policy develops.,Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2050,0,net GHG emissions,Emissions,Yes,https://www.legislation.gov.uk/ukpga/2008/27/contents
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,Energy Act 2023,2023,,Instrument,Establishes the economic licensing framework for CO₂ transport and storage and other enabling provisions for CCUS infrastructure relevant to engineered CDR.,Novel CDR; Enabling infrastructure,CO₂ transport; CO₂ geological storage,Cross-cutting,Regulatory instrument,regulatory_safeguard,,,,,,https://www.legislation.gov.uk/ukpga/2023/52
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,Storage of Carbon Dioxide (Licensing etc.) Regulations 2010,2010,2012; 2019,Instrument,"Defines licensing, monitoring, corrective measures, closure and post-closure obligations for CO₂ storage.",Novel CDR; Enabling infrastructure,CO₂ geological storage,Cross-cutting,Regulatory instrument,regulatory_safeguard; mrv_standard,,,,,,https://www.legislation.gov.uk/uksi/2010/2221
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,Environmental Improvement Plan 2023,2023,,Framework,"Sets environmental targets and actions including increasing tree canopy and woodland cover and restoring peatlands and other ecosystems, supporting land-based CDR.",Conventional CDR,"Afforestation, reforestation, forest management; Peatland and coastal wetland restoration",Supply,Other,target,2050,16.5,% tree canopy and woodland cover in England,Emissions,No,https://www.gov.uk/government/publications/environmental-improvement-plan
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,Environment Act 2021,2021,,Framework,"Establishes environmental governance and statutory targets relevant to land-use, biodiversity and ecosystem restoration, with indirect relevance to CDR sustainability and siting.",Multiple,Multiple,Cross-cutting,Regulatory instrument,regulatory_safeguard,,,,,,https://www.legislation.gov.uk/ukpga/2021/30/contents
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,England Trees Action Plan 2021–2024,2021,,Framework,"Sets England's strategic framework for woodland creation, forestry expansion and implementation of the Nature for Climate Fund.",Conventional CDR,"Afforestation, reforestation, forest management",Supply,Other,Other,,,,,,https://www.gov.uk/government/publications/england-trees-action-plan-2021-to-2024
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,England Peat Action Plan,2021,,Framework,"Sets England's framework for peatland restoration and sustainable management, complementing grant-based implementation.",Conventional CDR,Peatland and coastal wetland restoration,Supply,Other,Other,,,,,,https://www.gov.uk/government/publications/england-peat-action-plan
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,Nature for Climate Peatland Grant Scheme,2021,,Instrument,Grant scheme funding peatland restoration in England to increase removals and reduce peatland emissions.,Conventional CDR,Peatland and coastal wetland restoration,Supply,Economic instrument,capital_subsidy; operating_subsidy,,,,,,https://www.gov.uk/guidance/nature-for-climate-peatland-grant-scheme
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,UK Emissions Trading Scheme,2021,2025,Instrument,"UK compliance carbon market; 2025 policy decisions confirm future integration of engineered greenhouse gas removals, including BECCS and DACCS, into the scheme.",Novel CDR,Bioenergy with carbon capture and storage (BECCS); Direct air capture with geological storage (DACCS),Demand,Regulatory instrument,compliance_market_integration; mrv_standard,,,,,,https://assets.publishing.service.gov.uk/media/689cda8487bf475940723f5b/uk-ets-ggrs-main-response.pdf
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,Greenhouse Gas Removals (GGR) Business Model,2023,2025,Instrument,Develops a contracts-for-difference-style support framework for early engineered greenhouse gas removals projects; aligned with future UK ETS integration.,Novel CDR,Direct air capture with geological storage (DACCS); Bioenergy with carbon capture and storage (BECCS),Demand,Economic instrument,public_procurement; operating_subsidy,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-removals-ggr-business-model
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,Net Zero Strategy: Build Back Greener,2021,,Framework,Sets UK decarbonisation pathway and includes a quantified ambition for novel greenhouse gas removals by 2030.,Novel CDR,Bioenergy with carbon capture and storage (BECCS); Direct air capture with geological storage (DACCS),Cross-cutting,Other,target,2030,5,MtCO₂/year novel removals,CDR,No,https://www.gov.uk/government/publications/net-zero-strategy
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,Net Zero Innovation Portfolio,2021,,Instrument,Funds innovation programmes including DAC and other greenhouse gas removal technologies.,Novel CDR,Bioenergy with carbon capture and storage (BECCS); Direct air capture with geological storage (DACCS); Multiple,Cross-cutting,Economic instrument,rd_d_funding,,,,,,https://www.gov.uk/government/collections/net-zero-innovation-portfolio
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,CCUS Investor Roadmap,2022,,Framework,"Sets out the pathway to deliver four CCUS clusters and substantial CO₂ capture volumes by 2030, enabling future engineered removals.",Novel CDR; Enabling infrastructure,CO₂ geological storage; CO₂ transport; Bioenergy with carbon capture and storage (BECCS),Cross-cutting,Other,target,2030,20-30,MtCO₂/year capture,CO₂ storage,No,https://www.gov.uk/government/publications/carbon-capture-usage-and-storage-ccus-investor-roadmap
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,UK CCUS Action Plan,2018,,Framework,"Government strategy to scale up CCUS in the 2030s, helping create infrastructure relevant to future engineered CDR deployment.",Novel CDR; Enabling infrastructure,CO₂ geological storage; CO₂ transport,Cross-cutting,Other,Other,,,,,,https://www.gov.uk/government/publications/the-uk-carbon-capture-usage-and-storage-ccus-deployment-pathway-an-action-plan
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,Cluster Sequencing for CCUS: Track-2,2023,,Instrument,Competitive support process for new CCUS clusters contributing to the UK's broader 2030 CCUS deployment ambition.,Novel CDR; Enabling infrastructure,CO₂ geological storage; CO₂ transport,Supply,Economic instrument,capital_subsidy; operating_subsidy,,,,,,https://www.gov.uk/government/publications/cluster-sequencing-for-carbon-capture-usage-and-storage-ccus-track-2
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,CCUS Deployment: Track-1 Expansion – HyNet Cluster,2021,,Instrument,Supports expansion of the HyNet CCUS cluster as part of the UK's CCUS deployment programme.,Novel CDR; Enabling infrastructure,CO₂ geological storage; CO₂ transport,Supply,Economic instrument,capital_subsidy; operating_subsidy,,,,,,https://www.gov.uk/government/publications/carbon-capture-usage-and-storage-ccus-deployment-track-1-expansion-hynet-cluster
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,Carbon Capture and Storage Infrastructure Fund (CIF),2021,,Instrument,Provides capital support for CO₂ transport and storage infrastructure and early capture projects.,Novel CDR; Enabling infrastructure,CO₂ geological storage; CO₂ transport,Supply,Economic instrument,capital_subsidy; operating_subsidy,,,,,,https://www.gov.uk/government/publications/design-of-the-carbon-capture-and-storage-ccs-infrastructure-fund/the-carbon-capture-and-storage-infrastructure-fund-an-update-on-its-design-accessible-webpage
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,Ten Point Plan for a Green Industrial Revolution,2020,,Framework,"Supports hydrogen, CCUS and industrial decarbonisation clusters, indirectly enabling future engineered CDR deployment.",Novel CDR; Enabling infrastructure,CO₂ geological storage; CO₂ transport; Bioenergy with carbon capture and storage (BECCS),Cross-cutting,Other,Other,,,,,,https://www.gov.uk/government/publications/the-ten-point-plan-for-a-green-industrial-revolution
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,Woodland Carbon Code,2011,2025,Instrument,"Government-backed voluntary standard for measuring, verifying and issuing woodland carbon units from afforestation and woodland creation projects.",Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Information instrument,mrv_standard; community_safeguard,,,,,,https://www.woodlandcarboncode.org.uk/view-the-code
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,Peatland Code,2015,,Instrument,Voluntary standard for peatland restoration projects enabling verified emissions reductions and removals claims.,Conventional CDR,Peatland and coastal wetland restoration,Cross-cutting,Information instrument,mrv_standard; regulatory_safeguard,,,,,,https://www.iucn-uk-peatlandprogramme.org/peatland-code
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,Scotland Peatland ACTION Programme,2012,2020,Instrument,"Funds peatland restoration projects in Scotland; £250m committed by Scottish Government to restore 250,000 ha by 2030.",Conventional CDR,Peatland and coastal wetland restoration,Supply,Economic instrument,capital_subsidy; operating_subsidy,,,,,,https://www.nature.scot/climate-change/nature-based-solutions/nature-based-solutions-practice/peatland-action
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,Scotland Forestry Grant Scheme,2014,2024,Instrument,Provides grants for woodland creation and management/restoration of existing woodland in Scotland.,Conventional CDR,"Afforestation, reforestation, forest management; Durable wood products",Supply,Economic instrument,capital_subsidy; operating_subsidy,,,,,,https://www.ruralpayments.org/topics/all-schemes/forestry-grant-scheme/
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,Wales Small Grants Woodland Creation Scheme,2023,,Instrument,Provides grants for tree planting and woodland creation in Wales.,Conventional CDR,"Afforestation, reforestation, forest management",Supply,Economic instrument,capital_subsidy; operating_subsidy,,,,,,https://www.gov.wales/small-grants-woodland-creation-scheme
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,Wales Peatland Restoration Delivery Grant,2025,,Instrument,Provides grants for peatland restoration in Wales.,Conventional CDR,Peatland and coastal wetland restoration,Supply,Economic instrument,capital_subsidy; operating_subsidy,,,,,,https://naturalresources.wales/about-us/news-and-blogs/news/more-please-for-peatland-restoration-grant/?lang=en
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,Northern Ireland Peatland Challenge Fund Competition,2024,,Instrument,Provides grants for peatland restoration projects in Northern Ireland.,Conventional CDR,Peatland and coastal wetland restoration,Supply,Economic instrument,capital_subsidy; operating_subsidy,,,,,,https://www.daera-ni.gov.uk/articles/peatland-challenge-fund-2024-2027
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,Northern Ireland Small Woodland Grant Scheme,2022,,Instrument,Provides grants for new native woodland creation in Northern Ireland.,Conventional CDR,"Afforestation, reforestation, forest management",Supply,Economic instrument,capital_subsidy; operating_subsidy,,,,,,https://www.daera-ni.gov.uk/articles/daera-forestry-grants#toc-1
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,Northern Ireland Forest Expansion Scheme,2022,,Instrument,Provides subsidies for new woodland planting in Northern Ireland.,Conventional CDR,"Afforestation, reforestation, forest management",Supply,Economic instrument,capital_subsidy; operating_subsidy,,,,,,https://www.daera-ni.gov.uk/articles/daera-forestry-grants#toc-0
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,UK Green Claims Code,2021,,Instrument,Guidance on environmental marketing claims with indirect relevance to the integrity of carbon-removal and nature-credit claims.,Multiple,Multiple,Cross-cutting,Information instrument,regulatory_safeguard,,,,,,https://greenclaims.campaign.gov.uk/
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,UK Nationally Determined Contribution – First NDC / INDC (2015),2015,,Framework,"UK's first INDC submitted July 2015 (as EU member state), targeting at least 40% GHG reduction below 1990 by 2030.",Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2030,40,% below 1990 levels,Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-06/LV-03-06-EU%20INDC.pdf
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,UK Nationally Determined Contribution (2020) – 68% by 2030,2020,,Framework,"UK's first independent NDC submitted December 2020 post-Brexit, committing to at least 68% GHG reduction below 1990 levels by 2030.",Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2030,68,% below 1990 levels,Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-06/UK%20NDC%20ICTU%20Submission%20December%202020.pdf
State of CDR (Edition 3) - Policymaking and governance,United Kingdom,GBR,UK Nationally Determined Contribution – Second NDC (2025) – 81% by 2035,2025,,Framework,UK's Second NDC submitted January 2025; targets at least 81% GHG reduction below 1990 levels by 2035; aligned with Carbon Budget 6 and net-zero by 2050 pathway.,Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2035,81,% below 1990 levels,Emissions,No,https://assets.publishing.service.gov.uk/media/679b5ee8413ef177de146c1e/uk-2035-nationally-determined-contribution.pdf
State of CDR (Edition 3) - Policymaking and governance,United States,USA,"United States Intended Nationally Determined Contribution (INDC, 2015)",2015,,Framework,"Original U.S. INDC submitted March 2015, targeting 26–28% economy-wide GHG reduction below 2005 levels by 2025.",Multiple,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands; Peatland and coastal wetland restoration",Cross-cutting,Regulatory instrument,target,2025,26-28,% below 2005 levels,Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-06/U.S.A.%20First%20NDC%20Submission.pdf
State of CDR (Edition 3) - Policymaking and governance,United States,USA,United States Nationally Determined Contribution (2021) – 50–52% by 2030,2021,,Framework,"U.S. 2030 NDC highlighting climate-smart agriculture, reforestation, forest management, grazing and coastal restoration as measures that strengthen domestic sinks.",Conventional CDR,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands; Peatland and coastal wetland restoration; Agroforestry",Cross-cutting,Regulatory instrument,target,2030,50-52,% below 2005 levels,Emissions,No,https://faolex.fao.org/docs/pdf/usa217120.pdf
State of CDR (Edition 3) - Policymaking and governance,United States,USA,The United States of America Nationally Determined Contribution (2024) – 61–66% by 2035,2024,,Framework,"U.S. 2035 NDC setting a 61–66% economy-wide reduction target and reiterating measures to strengthen land-based sinks through agriculture, forestry and wetland restoration.",Conventional CDR,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands; Peatland and coastal wetland restoration; Agroforestry",Cross-cutting,Regulatory instrument,target,2035,61-66,% below 2005 levels,Emissions,No,https://unfccc.int/sites/default/files/2024-12/United%20States%202035%20NDC.pdf
